"sex","age","lx","qx","dx","Lx","Tx","ex","year"
1,0,1e+05,0.02163,2163,98041,6623414,66.23,"1990"
1,1,97837,0.00105,103,97786,6525373,66.7,"1990"
1,2,97734,0.00075,74,97697,6427588,65.77,"1990"
1,3,97660,0.00054,53,97634,6329891,64.82,"1990"
1,4,97607,0.00043,42,97586,6232257,63.85,"1990"
1,5,97565,0.00037,37,97547,6134671,62.88,"1990"
1,6,97528,0.00032,32,97513,6037124,61.9,"1990"
1,7,97497,3e-04,29,97482,5939611,60.92,"1990"
1,8,97467,0.00031,30,97452,5842129,59.94,"1990"
1,9,97437,0.00032,31,97422,5744677,58.96,"1990"
1,10,97407,3e-04,29,97392,5647255,57.98,"1990"
1,11,97377,3e-04,29,97363,5549863,56.99,"1990"
1,12,97348,0.00032,32,97333,5452500,56.01,"1990"
1,13,97317,0.00037,36,97299,5355168,55.03,"1990"
1,14,97280,0.00043,42,97259,5257869,54.05,"1990"
1,15,97238,0.00055,54,97211,5160610,53.07,"1990"
1,16,97185,0.00078,76,97147,5063398,52.1,"1990"
1,17,97109,0.00108,105,97056,4966252,51.14,"1990"
1,18,97004,0.00133,129,96939,4869195,50.2,"1990"
1,19,96875,0.00148,143,96803,4772256,49.26,"1990"
1,20,96732,0.00155,150,96657,4675453,48.33,"1990"
1,21,96582,0.00161,156,96504,4578796,47.41,"1990"
1,22,96426,0.00168,162,96345,4482292,46.48,"1990"
1,23,96265,0.00174,168,96181,4385947,45.56,"1990"
1,24,96097,0.00178,171,96012,4289766,44.64,"1990"
1,25,95926,0.00177,170,95841,4193754,43.72,"1990"
1,26,95756,0.00178,170,95671,4097913,42.8,"1990"
1,27,95586,0.00183,174,95499,4002242,41.87,"1990"
1,28,95412,0.00193,185,95319,3906743,40.95,"1990"
1,29,95227,0.0021,200,95127,3811423,40.02,"1990"
1,30,95027,0.00227,216,94919,3716296,39.11,"1990"
1,31,94811,0.00246,233,94695,3621377,38.2,"1990"
1,32,94578,0.00264,250,94453,3526682,37.29,"1990"
1,33,94328,0.00283,267,94195,3432228,36.39,"1990"
1,34,94062,0.00303,285,93919,3338033,35.49,"1990"
1,35,93776,0.00327,306,93623,3244114,34.59,"1990"
1,36,93470,0.00354,331,93304,3150491,33.71,"1990"
1,37,93139,0.00384,358,92960,3057187,32.82,"1990"
1,38,92782,0.00416,386,92589,2964227,31.95,"1990"
1,39,92395,0.00452,417,92187,2871638,31.08,"1990"
1,40,91978,0.00491,451,91753,2779451,30.22,"1990"
1,41,91527,0.00535,489,91282,2687699,29.37,"1990"
1,42,91038,0.00585,533,90771,2596416,28.52,"1990"
1,43,90505,0.00643,582,90214,2505645,27.69,"1990"
1,44,89923,0.00707,636,89605,2415431,26.86,"1990"
1,45,89287,0.00775,692,88941,2325826,26.05,"1990"
1,46,88595,0.00845,748,88221,2236885,25.25,"1990"
1,47,87847,0.00917,806,87444,2148663,24.46,"1990"
1,48,87041,0.00993,864,86609,2061219,23.68,"1990"
1,49,86177,0.01075,927,85714,1974610,22.91,"1990"
1,50,85251,0.01167,994,84753,1888896,22.16,"1990"
1,51,84256,0.01268,1068,83722,1804142,21.41,"1990"
1,52,83188,0.01379,1147,82614,1720420,20.68,"1990"
1,53,82041,0.01497,1228,81427,1637806,19.96,"1990"
1,54,80813,0.01622,1311,80157,1556379,19.26,"1990"
1,55,79501,0.01756,1396,78803,1476222,18.57,"1990"
1,56,78105,0.019,1484,77363,1397419,17.89,"1990"
1,57,76621,0.02057,1576,75833,1320056,17.23,"1990"
1,58,75045,0.02226,1671,74209,1244223,16.58,"1990"
1,59,73374,0.02405,1765,72491,1170014,15.95,"1990"
1,60,71609,0.0259,1854,70682,1097523,15.33,"1990"
1,61,69755,0.02778,1938,68786,1026841,14.72,"1990"
1,62,67817,0.02976,2018,66808,958055,14.13,"1990"
1,63,65798,0.03186,2096,64750,891248,13.55,"1990"
1,64,63702,0.03418,2177,62614,826497,12.97,"1990"
1,65,61525,0.03676,2261,60394,763884,12.42,"1990"
1,66,59263,0.03954,2343,58092,703490,11.87,"1990"
1,67,56920,0.04252,2420,55710,645398,11.34,"1990"
1,68,54500,0.0456,2485,53257,589688,10.82,"1990"
1,69,52014,0.04879,2538,50746,536431,10.31,"1990"
1,70,49477,0.05221,2583,48185,485685,9.82,"1990"
1,71,46893,0.05596,2624,45581,437500,9.33,"1990"
1,72,44269,0.06028,2669,42935,391919,8.85,"1990"
1,73,41601,0.06524,2714,40244,348984,8.39,"1990"
1,74,38887,0.07079,2753,37511,308740,7.94,"1990"
1,75,36134,0.07697,2781,34744,271229,7.51,"1990"
1,76,33353,0.08371,2792,31957,236486,7.09,"1990"
1,77,30561,0.09105,2783,29170,204529,6.69,"1990"
1,78,27778,0.09916,2755,26401,175359,6.31,"1990"
1,79,25024,0.10801,2703,23672,148958,5.95,"1990"
1,80,22321,0.11761,2625,21008,125286,5.61,"1990"
1,81,19696,0.12778,2517,18437,104277,5.29,"1990"
1,82,17179,0.13786,2368,15995,85840,5,"1990"
1,83,14811,0.14801,2192,13715,69845,4.72,"1990"
1,84,12619,0.15842,1999,11619,56130,4.45,"1990"
1,85,10620,0.16828,1787,9726,44511,4.19,"1990"
1,86,8832,0.18105,1599,8033,34785,3.94,"1990"
1,87,7233,0.19464,1408,6529,26752,3.7,"1990"
1,88,5825,0.20908,1218,5216,20223,3.47,"1990"
1,89,4607,0.22439,1034,4091,15006,3.26,"1990"
1,90,3574,0.24059,860,3144,10916,3.05,"1990"
1,91,2714,0.25768,699,2364,7772,2.86,"1990"
1,92,2015,0.27567,555,1737,5408,2.68,"1990"
1,93,1459,0.29456,430,1244,3671,2.52,"1990"
1,94,1029,0.31435,324,868,2427,2.36,"1990"
1,95,706,0.33501,236,588,1559,2.21,"1990"
1,96,469,0.35653,167,386,972,2.07,"1990"
1,97,302,0.37886,114,245,586,1.94,"1990"
1,98,188,0.40197,75,150,341,1.82,"1990"
1,99,112,0.4258,48,88,191,1.71,"1990"
1,100,64,0.45029,29,50,103,1.6,"1990"
2,0,1e+05,0.01697,1697,98488,7523834,75.24,"1990"
2,1,98303,0.00088,87,98260,7425346,75.53,"1990"
2,2,98217,0.00058,57,98188,7327086,74.6,"1990"
2,3,98160,0.00037,36,98142,7228897,73.64,"1990"
2,4,98124,0.00026,26,98111,7130755,72.67,"1990"
2,5,98098,0.00023,22,98087,7032644,71.69,"1990"
2,6,98076,0.00022,21,98065,6934557,70.71,"1990"
2,7,98054,0.00022,21,98044,6836492,69.72,"1990"
2,8,98033,0.00022,21,98023,6738448,68.74,"1990"
2,9,98012,0.00022,22,98001,6640425,67.75,"1990"
2,10,97991,0.00022,22,97980,6542424,66.77,"1990"
2,11,97969,0.00022,21,97958,6444444,65.78,"1990"
2,12,97948,2e-04,20,97938,6346486,64.79,"1990"
2,13,97927,0.00021,20,97917,6248548,63.81,"1990"
