"age_x","age_y","credit_history","kids","household_income","outstanding_loan_amount","property_value","property_size","annual_interest_rate","monthly_payment","n","Default"
34,31,1,1,8617,149217,765952,101.37,4.84,1669,112,FALSE
31,NA,1,1,7502,138054,361017,75.04,4.83,2852,54,FALSE
32,NA,1,1,3274,73614,193800,32.92,4.41,1226,68,FALSE
38,32,1,2,8167,157986,560277,118.98,4.55,1787,108,FALSE
29,27,1,1,9007,290948,470490,61.98,4.65,2175,189,FALSE
39,NA,0,0,6395,97464,316815,50.36,4.58,1649,68,FALSE
36,36,1,3,8918,286577,768708,103.46,4.45,1723,260,FALSE
36,36,1,1,12635,258568,1217192,157.26,4.34,3901,76,FALSE
34,NA,1,0,5722,232917,400749,46.74,4.44,1201,343,FALSE
39,NA,0,1,4571,95836,173007,25.57,4.55,887,140,FALSE
32,22,1,2,6165,33629,375048,70.05,5.15,1102,33,FALSE
29,NA,0,2,3880,61999,257700,31.4,4.39,1342,51,TRUE
35,35,0,2,7660,228770,461710,74.88,5.11,2587,112,TRUE
40,41,1,3,16112,179369,717270,127.81,5.6,3609,57,FALSE
30,NA,0,0,2744,43933,259248,29.33,5.38,485,117,FALSE
43,44,1,2,12347,113933,823716,130.17,4.3,2725,46,FALSE
37,39,1,3,10876,80710,634969,76.53,4.26,3229,27,FALSE
39,NA,1,1,3553,91354,288208,42.54,5.35,594,261,FALSE
38,34,0,2,8397,173997,747623,108.21,5.24,1392,182,FALSE
30,NA,0,1,2808,70712,262750,45.38,5.07,524,201,FALSE
29,27,1,2,10339,236658,645204,114.54,5.12,2580,117,FALSE
39,40,1,2,4842,93872,363622,40.38,4.96,935,130,FALSE
30,NA,1,1,5515,201886,480399,61.44,4.28,1290,230,FALSE
34,NA,1,0,4618,95664,220978,48.62,4.94,1487,75,FALSE
36,30,1,1,8751,43411,391386,50.77,5.1,2192,21,FALSE
40,45,1,1,14143,166854,507984,83.55,5.46,3108,62,FALSE
45,47,1,1,13852,171163,469733,65.06,4.49,3848,49,FALSE
41,42,1,2,9795,228786,568055,97.47,4.3,2437,115,FALSE
36,33,1,3,12372,352844,977252,143.25,4.15,3409,129,FALSE
26,24,0,2,5586,80901,311553,43.05,4.58,1011,96,FALSE
36,34,1,2,9440,116438,242036,51.53,4.7,2692,48,FALSE
30,32,0,2,5031,86788,222769,33.59,5.67,1139,95,FALSE
43,NA,1,2,8335,123828,477704,61.15,4.45,2426,57,FALSE
34,35,1,2,4594,68797,228210,33.97,5.36,840,103,FALSE
31,24,1,1,9145,183001,423736,65.12,4.77,2286,97,FALSE
40,NA,1,0,5042,6613,159385,31.75,4.55,1435,5,FALSE
34,33,1,3,10359,566441,858844,119.9,4.31,3039,309,TRUE
38,42,1,2,11107,436528,937853,106.14,4.99,2469,321,FALSE
33,NA,0,1,4461,124445,329858,48.58,4.37,1301,118,FALSE
32,32,1,2,6131,196280,353367,47.63,4.65,1472,189,FALSE
36,31,1,0,5232,141119,503195,69.83,4.26,1435,122,FALSE
36,32,1,0,10232,417150,538223,90.61,4.69,2171,357,FALSE
35,36,0,2,7006,64742,493190,53.93,4.97,1897,37,FALSE
30,NA,1,2,7404,127754,220086,29.96,4.87,1863,81,FALSE
49,45,1,3,9101,327087,579465,94.36,4.77,2603,175,FALSE
36,32,1,1,11045,240568,1019340,155.91,4.69,4035,69,FALSE
37,35,1,1,6289,170942,369436,50.58,5.09,1913,113,FALSE
30,30,1,2,6585,113075,297520,47.55,4.03,1955,65,TRUE
28,26,0,2,5184,196376,228183,32.44,5.38,1533,191,TRUE
30,29,0,2,4850,106397,340468,52.95,4.8,1641,76,FALSE
37,37,1,1,5979,112771,236244,37.89,4.44,1137,124,FALSE
36,NA,0,2,9106,145772,534488,76.29,4.87,2429,69,FALSE
42,NA,0,2,5022,114912,196630,46.06,5.14,884,191,FALSE
